family,prop.sampled,sr,g,p
Lejeuneaceae,0.0709563684442486,2269,3096.61319699867,0
Hypnaceae,0.166732830488289,2519,2214.99537572245,0
Plagiochilaceae,0.0591603053435115,524,750.843299978494,0
Jungermanniaceae,0.138075313807531,717,718.176797286792,0
Lepidoziaceae,0.096551724137931,580,702.061755242518,0
Jubulaceae,0.066079295154185,454,630.303115873028,0
Lophocoleaceae,0.047244094488189,381,576.382498225216,0
Aneuraceae,0.0505050505050505,297,442.498974502268,0
Leskeaceae,0.185378590078329,383,305.60893792346,0
Radulaceae,0.0842105263157895,190,242.884525679478,0
