con,family,db
1,Orchidaceae,try
1,Gesneriaceae,try
2,Acanthaceae,try
2,Dryopteridaceae,try
3,NA,try
4,Asteraceae,try
4,Orchidaceae,try
5,Orchidaceae,try
5,Lamiaceae,try
6,Orchidaceae,try
6,Lamiaceae,try
7,Rubiaceae,try
7,Orchidaceae,try
8,Acanthaceae,try
8,Apocynaceae,try
9,NA,try
1,Orchidaceae,genbank
1,Myrtaceae,genbank
2,Myrtaceae,genbank
2,Araceae,genbank
3,NA,genbank
4,Myrtaceae,genbank
4,Asteraceae,genbank
5,Asteraceae,genbank
5,Rosaceae,genbank
6,Myrtaceae,genbank
6,Frankeniaceae,genbank
7,Orchidaceae,genbank
7,Phyllanthaceae,genbank
8,Acanthaceae,genbank
8,Rutaceae,genbank
9,NA,genbank
